threads,repeticao,events_per_second
1,1,2079.89
1,2,2079.78
1,3,2080.31
1,4,2080.51
1,5,2080.77
1,6,2080.90
1,7,2080.10
1,8,2080.21
1,9,2082.14
1,10,2080.87
1,11,2079.46
1,12,2080.07
1,13,2080.22
1,14,2080.61
1,15,2079.61
1,16,2078.81
1,17,2080.52
1,18,2080.28
1,19,2079.80
1,20,2079.34
1,21,2080.05
1,22,2080.64
1,23,2079.73
1,24,2079.94
1,25,2080.17
1,26,2080.42
1,27,2080.54
1,28,2081.32
1,29,2079.76
1,30,2079.01
2,1,4162.36
2,2,4160.45
2,3,4160.37
2,4,4161.64
2,5,4161.39
2,6,4160.98
2,7,4160.47
2,8,4163.39
2,9,4161.71
2,10,4161.32
2,11,4162.43
2,12,4163.17
2,13,4161.82
2,14,4161.38
2,15,4162.67
2,16,4160.18
2,17,4161.38
2,18,4162.51
2,19,4161.01
2,20,4161.18
2,21,4160.44
2,22,4161.72
2,23,4160.46
2,24,4160.29
2,25,4161.90
2,26,4161.61
2,27,4160.93
2,28,4161.40
2,29,4163.06
2,30,4160.91
4,1,8285.20
4,2,8293.83
4,3,8313.80
4,4,8282.49
4,5,8279.65
4,6,8279.20
4,7,8283.56
4,8,8273.70
4,9,8278.49
4,10,8240.52
4,11,8279.77
4,12,8277.59
4,13,8281.14
4,14,8312.30
4,15,8286.47
4,16,8287.83
4,17,8305.09
4,18,8295.45
4,19,8278.16
4,20,8256.52
4,21,8274.46
4,22,8283.54
4,23,8241.17
4,24,8263.10
4,25,8260.66
4,26,8298.73
4,27,8271.97
4,28,8258.11
4,29,8243.64
4,30,8234.49
8,1,16063.58
8,2,16055.28
8,3,15893.48
8,4,15974.65
8,5,15998.68
8,6,15930.41
8,7,15926.02
8,8,15982.33
8,9,15920.40
8,10,16042.57
8,11,15908.77
8,12,15993.68
8,13,16066.59
8,14,15921.87
8,15,16004.52
8,16,15986.75
8,17,15943.11
8,18,15987.23
8,19,15940.53
8,20,15950.77
8,21,15948.94
8,22,15937.40
8,23,15935.48
8,24,15950.54
8,25,15989.06
8,26,15844.51
8,27,16036.09
8,28,15909.62
8,29,16029.86
8,30,15936.41
16,1,17111.84
16,2,17087.88
16,3,17120.22
16,4,17130.86
16,5,17125.78
16,6,17124.09
16,7,17109.36
16,8,17085.04
16,9,17115.05
16,10,17089.83
16,11,17046.17
16,12,17090.01
16,13,17104.06
16,14,17130.28
16,15,17126.28
16,16,17117.25
16,17,17129.09
16,18,17136.77
16,19,17097.50
16,20,17077.05
16,21,17100.67
16,22,17095.04
16,23,17117.73
16,24,17142.09
16,25,17127.43
16,26,17134.85
16,27,17142.18
16,28,17110.02
16,29,17128.71
16,30,17118.66
